Modèle,Train RMSE,Val RMSE,Train R²,Val R²,Val RMSE %
XGBoost,18902.228390991582,28629.311736677842,0.941247729490226,0.8931417688927134,16.008354892306585
Gradient Boosting,20584.274646882233,29724.573179555253,0.9303261550391483,0.884809299260461,16.62078085764961
Random Forest,17252.816346937867,30579.549546033326,0.9510538382757784,0.878087473051393,17.09884911248583
LightGBM,21951.854552766057,31186.03234763029,0.9207606188401343,0.8732037481435742,17.4379698015664
