feature,importance
nom__Neighborhood_BrDale,0.0
nom__LotConfig_FR3,0.0
nom__Neighborhood_SWISU,0.0
nom__Condition1_RRNe,0.0
nom__RoofMatl_WdShake,0.0
nom__RoofMatl_WdShngl,0.0
nom__RoofStyle_Flat,0.0
nom__Exterior2nd_AsphShn,0.0
nom__Exterior1st_Stone,0.0
nom__Exterior1st_CBlock,0.0
nom__Exterior1st_ImStucc,0.0
nom__Exterior1st_AsphShn,0.0
nom__RoofStyle_Gambrel,0.0
nom__RoofStyle_Mansard,0.0
nom__HouseStyle_SFoyer,0.0
nom__RoofStyle_Shed,0.0
nom__RoofMatl_ClyTile,0.0
nom__RoofMatl_Metal,0.0
nom__RoofMatl_CompShg,0.0
nom__RoofMatl_Roll,0.0
nom__RoofMatl_Tar&Grv,0.0
nom__Exterior2nd_Other,0.0
nom__Exterior2nd_Brk Cmn,0.0
nom__Exterior2nd_Wd Sdng,0.0
nom__Exterior2nd_Wd Shng,0.0
nom__Exterior2nd_Stone,0.0
nom__Exterior2nd_BrkFace,0.0
nom__Exterior2nd_CmentBd,0.0
nom__Exterior2nd_CBlock,0.0
nom__Exterior2nd_ImStucc,0.0
nom__Foundation_Stone,0.0
nom__Heating_Grav,0.0
nom__Heating_GasW,0.0
nom__Heating_Floor,0.0
nom__Foundation_Wood,0.0
nom__CentralAir_Y,0.0
nom__Heating_Wall,0.0
nom__Heating_OthW,0.0
nom__Electrical_FuseP,0.0
