feature,importance
nom__MSSubClass_85,0.0
nom__MSSubClass_90,0.0
nom__Utilities_NoSeWa,0.0
nom__Utilities_AllPub,0.0
nom__Neighborhood_Blueste,0.0
nom__Condition1_RRNn,0.0
nom__Condition2_Artery,0.0
nom__Condition1_RRAn,0.0
nom__Condition1_RRNe,0.0
nom__Condition2_Norm,0.0
nom__Neighborhood_IDOTRR,0.0
nom__Neighborhood_NPkVill,0.0
nom__HouseStyle_2.5Fin,0.0
nom__HouseStyle_1.5Unf,0.0
nom__BldgType_Twnhs,0.0
nom__Condition2_PosA,0.0
nom__Condition2_RRAn,0.0
nom__Condition2_RRNn,0.0
nom__BldgType_2fmCon,0.0
nom__BldgType_Duplex,0.0
nom__Condition2_RRAe,0.0
nom__RoofStyle_Gambrel,0.0
nom__RoofStyle_Shed,0.0
nom__RoofMatl_ClyTile,0.0
nom__RoofMatl_Roll,0.0
nom__RoofMatl_WdShngl,0.0
nom__RoofMatl_Metal,0.0
nom__HouseStyle_SFoyer,0.0
nom__Exterior2nd_AsphShn,0.0
nom__Exterior1st_Stone,0.0
nom__Exterior1st_CBlock,0.0
nom__Exterior1st_ImStucc,0.0
nom__Exterior1st_AsphShn,0.0
nom__RoofMatl_Tar&Grv,0.0
nom__RoofMatl_WdShake,0.0
nom__Exterior2nd_CBlock,0.0
nom__Exterior2nd_Stone,0.0
nom__Exterior2nd_Brk Cmn,0.0
nom__Foundation_Stone,0.0
nom__Heating_Floor,0.0
nom__Heating_Grav,0.0
nom__Heating_Wall,0.0
nom__Heating_OthW,0.0
nom__Electrical_FuseP,0.0
